Meter ID,Account Number,Service Address,From Date,To Date,Consumption,Units,Tariff Code,Supplier,Renewable
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,21/02/2023,22/03/2023,11900,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,22/03/2023,24/04/2023,10200,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,24/04/2023,22/05/2023,8900,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,22/05/2023,21/06/2023,7800,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,21/06/2023,24/07/2023,7200,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,24/07/2023,22/08/2023,7600,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,22/08/2023,21/09/2023,8400,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,21/09/2023,23/10/2023,10800,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,23/10/2023,22/11/2023,12700,kWh,SME-STD,EDF Energy,Yes
MPAN-0098765432101,ACC-78234,Building 6 Harwell Science Campus Oxford OX11 0RA,22/11/2023,21/12/2023,13500,kWh,SME-STD,EDF Energy,Yes
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/01/2023,31/01/2023,287.4,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/02/2023,28/02/2023,271.8,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/03/2023,31/03/2023,265.2,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/04/2023,30/04/2023,241.6,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/05/2023,31/05/2023,238.9,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/06/2023,30/06/2023,259.3,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/07/2023,31/07/2023,278.1,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/08/2023,31/08/2023,281.4,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/09/2023,30/09/2023,256.7,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/10/2023,31/10/2023,268.4,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/11/2023,30/11/2023,289.6,MWh,LGS-DEMAND,PSE&G,No
METER-US-MFG-01,ACC-US-4421,1200 Commerce Drive Newark NJ 07102,01/12/2023,31/12/2023,301.2,MWh,LGS-DEMAND,PSE&G,No
METER-SOLAR-01,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,17/01/2023,15/02/2023,-4200,kWh,SOLAR-EXPORT,British Gas Business,Yes
METER-SOLAR-01,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,15/02/2023,16/03/2023,-5100,kWh,SOLAR-EXPORT,British Gas Business,Yes
METER-SOLAR-01,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,16/03/2023,18/04/2023,-7800,kWh,SOLAR-EXPORT,British Gas Business,Yes
METER-SOLAR-01,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,18/04/2023,17/05/2023,-9200,kWh,SOLAR-EXPORT,British Gas Business,Yes
METER-SOLAR-01,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,17/05/2023,16/06/2023,-10100,kWh,SOLAR-EXPORT,British Gas Business,Yes
METER-SOLAR-01,ACC-78234,Unit 4 Harwell Science Campus Oxford OX11 0RA,16/06/2023,18/07/2023,-9800,kWh,SOLAR-EXPORT,British Gas Business,Yes
